"logFC" "logCPM" "PValue" "FDR"
"AT5G63450" 1.79754929372691 3.12894417288506 0.0146643678967381 1
"AT4G08150" 1.69185896320428 4.66906544232694 0.0147673368657482 1
"AT4G17140" -1.64550533499872 6.37874838871617 0.0148084458582066 1
"AT5G14920" -1.64851521775366 5.91067530685103 0.0150290601609415 1
"AT3G55646" -2.57564614264031 0.610005475642188 0.0155140960586224 1
"AT3G49580" 1.75370383957212 3.28027973629076 0.0156015206386351 1
"AT4G28100" -1.71499080990603 3.60594378656744 0.0156022847723653 1
"AT2G18150" 1.89156355544696 2.25695495544125 0.0156386970856018 1
"AT3G24880" -1.67761622758727 4.14105984929674 0.0159203080461873 1
"AT4G19440" -1.74547502167001 3.0145091883706 0.0159773261799279 1
"AT4G10695" -2.24630289548156 0.801548110502154 0.016272845331725 1
"AT2G28630" -1.72220740322447 3.28513451291736 0.0163036686962124 1
"ATCG00340" -1.65832003956111 4.54150387637701 0.0163640666445063 1
"AT5G52310" -1.61069330518998 7.23922242903208 0.0165639729859397 1
"AT5G52290" -2.73997370907875 0.103902219481696 0.0167825540461803 1
"AT1G22890" -2.18822409460544 0.934711614552188 0.0168100689128942 1
"AT3G07540" -1.72574792068785 3.15088542098409 0.0168426867429685 1
"AT1G30330" -1.62017715675909 5.67363127069681 0.0168784271180128 1
"AT2G36870" 1.61285741735504 6.44582244007159 0.016948976252392 1
"AT2G26890" -1.62143627749796 5.59152569671787 0.0169624309140468 1
"AT5G43570" 2.29195987783566 1.22170410487393 0.0171988774257924 1
"AT5G52320" 1.67026502477805 3.97320185471004 0.0172905314150466 1
"AT3G17640" -1.68398521322261 3.58263627718073 0.0176689013079258 1
"AT5G13390" -1.6210104055605 4.85232662084516 0.0177818499554857 1
"AT4G15180" -1.61125966152339 5.31975123200758 0.0179652336171479 1
"AT5G38870" -1.99627502426983 1.55116176236818 0.0179854977206921 1
"AT1G69140" -1.65320931336052 3.98954950994939 0.0181525261057082 1
"AT1G01200" 1.91125692562443 1.95075409747794 0.0182110796616183 1
"AT5G48060" -1.8995791856215 1.82877257593665 0.0182110796616183 1
"AT1G15580" 2.84048184917734 0.531526201044863 0.0182584032797007 1
"AT4G36080" -1.63146679175177 4.53190053307558 0.0183608043230526 1
"AT1G78830" -1.60291306225404 4.90438395237886 0.0187109920652256 1
"AT4G04955" -1.62459985878534 4.35949270224117 0.0191123380383444 1
"AT3G59270" 2.49875145309131 0.750413377419737 0.0191124192825838 1
"AT4G38550" -2.49804575627748 0.552629968687922 0.0191124192825838 1
"AT5G45520" -2.49804575627748 0.552629968687922 0.0191124192825838 1
"AT2G41312" 1.74917726866264 2.99025613896427 0.0192303514982833 1
"AT2G34430" -1.56679351255225 8.88018498510877 0.0192487913931101 1
"AT5G24350" -1.60651641793727 4.7371317964823 0.0193564091999394 1
"AT4G23440" -1.65849506704037 3.313856206817 0.019682736275658 1
"AT3G12820" 1.83115956616162 2.39073811157922 0.0197198715048281 1
"AT1G09880" -2.91475172444689 -0.230629885983432 0.0197868807531717 1
"AT3G28945" -2.91475172444689 -0.230629885983432 0.0197868807531717 1
"AT5G02180" -1.64463248531967 3.65393588526422 0.0198933477175388 1
"AT3G09490" 1.87243394673534 2.14337355248997 0.0199186683138394 1
"AT4G19190" -1.62523780051761 3.87256455017231 0.0201164148165941 1
"AT1G67120" -1.57555322385953 5.16035885643524 0.0204141545394206 1
"AT1G20960" -1.54644507605428 6.83239144488541 0.0213203155431434 1
"AT4G28700" -6.2104908760012 -0.779483531946323 0.0219001610305958 1
"AT1G62935" 6.04131920598645 -0.538011514663619 0.0219001610305958 1
"AT1G15760" 1.7051103674304 3.00906416959735 0.0220782208469138 1
"AT1G01480" 3.36401437093666 0.158245874274104 0.0222080971802885 1
"AT1G31900" 3.36401437093666 0.158245874274104 0.0222080971802885 1
"AT5G44660" -1.6546616205912 3.12636036973251 0.0225093722120746 1
"AT2G27402" 1.53725629433914 6.29257781034784 0.0225646218711257 1
"AT4G34760" 1.56541428913849 4.98683499876399 0.0225671700813004 1
"AT5G07980" -1.5769569600865 4.18781148608289 0.0226385726524517 1
"AT4G26690" -1.54152445521836 5.28580189243117 0.02305599399965 1
"AT5G65300" 1.98361419569216 1.41600632982546 0.0230912167161369 1
"AT2G36750" -1.94556333966515 1.30274410317994 0.0230912167161369 1
"AT4G11460" -1.60286136809366 3.60337348231131 0.0231732449284902 1
"AT4G16860" -1.53638424840636 5.5920036295603 0.0231788612972497 1
"AT2G29460" 2.17993422707342 1.13668965529496 0.0234829545345835 1
"AT5G17800" 1.76118800735762 2.57059071162509 0.0235479548898382 1
"AT4G15660" -2.41603289802161 0.493121254313261 0.0236304132064657 1
"AT1G77870" 2.39244385705158 0.670627161149608 0.0236304132064657 1
"AT1G14640" -2.16020915443595 0.542228293230407 0.0236304132064657 1
"AT4G13570" -2.16020915443595 0.542228293230407 0.0236304132064657 1
"AT2G04460" -2.12436579927167 0.888506415537885 0.0236354579360651 1
"AT2G24980" -2.12436579927167 0.888506415537885 0.0236354579360651 1
"AT5G41790" -1.53137208547549 5.74752309510226 0.0236851371437892 1
"AT5G07990" 1.56983638710336 4.46147563964863 0.0237195618215123 1
"AT3G19020" -1.74880186203735 1.86585434195627 0.0241291617150723 1
"AT2G43050" 1.67433809156348 2.98606057419785 0.0242512405940101 1
"AT1G29395" -1.52850863827485 5.15820715358394 0.0243159982296317 1
"AT3G53250" -1.82935404498149 1.77718519476415 0.0244309328706846 1
"AT2G35300" 1.68651154817685 2.94324187091233 0.0244342945091896 1
"AT1G70620" -1.5305560720382 5.11370400777942 0.0245348810316593 1
"AT5G55930" -1.58181447370631 3.58786219823545 0.0246271977160904 1
"AT1G67510" -1.58921169718131 3.38150094978622 0.0249283043079491 1
"AT4G04970" -1.54759214545308 4.41592451413796 0.0250546706755589 1
"ATCG00350" -1.53803271386717 4.37573693388529 0.0252985673298323 1
"AT2G18210" 1.76627294169877 2.16274783017325 0.0253525814562012 1
"AT5G56550" 1.76627294169877 2.16274783017325 0.0253525814562012 1
"AT1G33610" -1.81313720818673 1.51292413151268 0.0255173141820056 1
"AT1G18075" 1.62252492094835 3.04599441791023 0.0261643139295219 1
"AT2G18600" 1.75067981855464 2.33033270165256 0.026299587537925 1
"AT4G01895" 1.95130467044859 1.39189322628327 0.0264291625770283 1
"AT4G19490" -1.5019547922107 5.57139744028197 0.0264596569196441 1
"AT1G03820" 1.50588498209812 5.37370451583146 0.0268753475445888 1
"AT3G28220" 1.512767082526 5.05166607971034 0.0269210066260663 1
"AT3G50380" -1.50611057351226 4.99187355639561 0.026950388795441 1
"AT3G23930" 2.03345391771935 1.25663240923484 0.0269513598606971 1
"AT5G63690" 2.03345391771935 1.25663240923484 0.0269513598606971 1
"AT4G36180" -1.49799294837276 5.27736230175869 0.0270352971245257 1
"AT1G19630" 1.83992080302998 1.77169535013042 0.0275040905722157 1
"AT2G41640" -1.50050633711403 5.09158555638204 0.0276573271182913 1
"AT5G24105" 1.5948185739913 3.39988136589657 0.0277008055172824 1
"AT1G31690" -1.52471295103624 3.99900267173901 0.0278926668942796 1
"AT2G15042" -3.66454012549889 -0.423817156878759 0.0279694254255361 1
"AT1G79480" -2.76426924888318 -0.330347287559327 0.0279694254255361 1
"AT5G01320" -2.76426924888318 -0.330347287559327 0.0279694254255361 1
"ATCG00750" -2.76426924888318 -0.330347287559327 0.0279694254255361 1
"AT4G23210" -1.76389133932335 1.56673772806908 0.0280835466439832 1
"AT5G35480" 2.33076243582914 0.973295361755362 0.0281231456187105 1
"AT1G76420" 2.28657795990343 0.939955528327232 0.0281231456187105 1
"AT5G42530" 1.52457398725926 4.37526880670918 0.0281811147678241 1
"AT5G05990" 1.50098606768251 4.99778327663049 0.0282460190205139 1
"AT2G45540" -1.47811136683946 6.05164123181133 0.0283784403547422 1
"AT3G01670" -1.51916021028016 4.07887795215941 0.0283947929100315 1
"AT1G73040" 2.14527440490994 0.834659733497633 0.028743675911825 1
"AT5G47020" -1.47582024883522 5.75740536426095 0.0288288190058734 1
"AT1G62970" -1.61041029588961 2.78146411660801 0.0289625289136882 1
"AT2G35290" -2.3290753542491 0.431317785937081 0.029323085550557 1
"AT4G15320" -2.07325161066344 0.482562198434634 0.029323085550557 1
"AT1G28480" 2.64915173205909 0.387945805867448 0.0297217605337739 1
"AT3G21460" -2.44883591909827 0.241458497003038 0.0297217605337739 1
"AT1G28010" -1.59437206128437 2.50313606663314 0.0298207849875855 1
"AT1G02080" -1.45822550955569 6.07064071862515 0.0300420518115231 1
"AT5G61590" -1.47473762730971 5.28359399644906 0.0300462106912328 1
"AT3G23450" -1.56272444560454 3.19305975192658 0.0301166583916042 1
"AT3G25020" -1.63569380167024 2.44681112866185 0.0303155126317768 1
"AT1G07090" 1.55309294903889 3.33203192724297 0.0303205369340257 1
"AT2G23000" 1.46084297703152 5.97582498400638 0.0304650154489766 1
"AT3G28270" 1.54962394074691 3.40268641931163 0.0305017623032015 1
"AT5G25980" -1.4454303181256 7.70276415952464 0.0305481856168064 1
"AT1G11112" 1.7352186921789 2.0407905858561 0.0305514980955044 1
"AT5G15900" 1.78943132708407 1.73422598697567 0.0305765047948065 1
"AT5G57785" 1.46382641243414 5.58697437453947 0.0308286598232897 1
"AT1G32090" -1.46209755733798 5.10950299519785 0.0310501622364635 1
"AT1G19020" 1.7224246646455 2.22256325000092 0.0310612990614534 1
"AT2G34180" -1.99157736060378 1.08968348586321 0.0312329375150456 1
"AT5G40100" -1.99157736060378 1.08968348586321 0.0312329375150456 1
"AT1G13700" -1.85606663573643 1.1216154852577 0.0312329375150456 1
"AT4G16563" -1.57142174866855 2.94838172946882 0.0313764554299167 1
"AT2G40030" -1.50680399361329 3.70028682504974 0.0314265797548261 1
"AT4G20870" -1.46992284473847 4.74904359097092 0.0316577889786875 1
"AT3G62150" -1.52901972296299 3.24345784174874 0.0318129969039102 1
"AT5G38000" 1.58374714916207 3.0641272152371 0.0319526357566981 1
"AT3G49670" -1.44308185506914 6.07279834059407 0.0320752950586006 1
"AT5G36740" -1.67857672139735 1.81563759513442 0.0320826034801987 1
"AT4G09820" 2.10010593963273 1.07687092164505 0.032308876478145 1
"AT2G46640" 1.51851746926302 3.78175159335291 0.0323739219726538 1
"AT4G21400" -1.67956722397312 2.01189226707414 0.0324963895176219 1
"AT1G80800" -1.62385264329746 2.14452980809417 0.0335400633338014 1
"AT5G55170" 2.24099740563527 0.905766818468429 0.0335404257499039 1
"AT4G23240" -1.98748777771322 0.7918942335431 0.0335404257499039 1
"AT4G02970" 1.46605538657771 4.31437320679138 0.0335901013489548 1
"AT5G40450" -1.4307526610417 5.78160035243191 0.0336658100208547 1
"AT5G20250" -1.42970494579819 5.83573090095746 0.0337351392971005 1
"AT5G23730" 1.63105132882937 2.54349132155993 0.0337497230813456 1
"AT5G12400" -1.45015920584822 4.46012282844466 0.0339678799028208 1
"AT4G27050" 1.45243391805384 4.59851450604505 0.0342878960182723 1
"AT2G26695" 1.58709342550205 2.86957276378214 0.0344147116149451 1
